smiles,smiles_masked
Cc1nc(-c2cccs2)sc1C(=O)NC1CC1,<s>Cc1nc(-c2cccs2)sc1C<mask>O<mask>NC<mask>CC1</s>
CC(C)CC[C@@H](C)NC(=O)NC[C@@H]1C[NH+]2CCCC[C@@H]2CO1,<s><mask>(C<mask>CC[C<mask>H](C)NC(=O)<mask><mask>C@@H<mask>1C[NH+]2CCCC[C@@H]2<mask>1</s>
CCCCNS(=O)(=O)c1cccc([N-]S(=O)(=O)c2ccc(C(F)(F)F)cc2)c1,<s><mask>(=O)(=O)c1cccc([<mask>-]S(=O)(=O)<mask>2ccc(C<mask>F)(F<mask><mask><mask>cc2)c1</s>
C[C@](O)(CNC(=O)CCCc1ccccn1)c1ccc(F)cc1,<s>C[C<mask>O<mask>CNC(=<mask>)CCCc1ccccn1)c<mask>ccc(F)cc1</s>
COCCCOc1cccc(CN[C@H](C)[C@H]2C[NH+](C)CCO2)c1,<s>COCCCOc1cccc(CN[C@H<mask>C)[C@H]<mask>C[NH<mask>C)CCO2)<mask><mask></s>
CCN(CC)CC[C@H]([NH3+])C[C@@H]1OCCc2ccccc21,<s>CCN(CC)<mask>[<mask>@H]([NH<mask>+])C[C@@H]<mask>OCCc2ccccc21</s>
O=C(CSc1nnc(NC2CCCCC2)s1)Nc1nccs1,<s><mask>=C(CSc<mask>nnc(NC2CCCCC2)s1)<mask><mask>nccs1</s>
CN(C)C(=O)[C@@H]1CC[C@H](CNc2cc(Cl)ccc2C#N)O1,<s><mask>(C<mask>C(=O)[C@@H<mask>1CC[C@H](CNc<mask>cc(Cl)ccc<mask>C#N)<mask>1</s>
Cc1ccc(N(Cc2ccccc2)C(=O)c2ccc(S(=O)(=O)N3C[C@H](C)O[C@H](C)C3)cc2)cc1,<s>Cc1ccc<mask><mask><mask>Cc2ccccc2)C(=O)<mask>2ccc(<mask>(=O)(=O)N3C[C@<mask>](C<mask>O<mask>C@H](C)C3<mask>cc2)<mask>1</s>
O=c1[nH]c([O-])c([C@@H]2[NH2+]CCC3=c4ccccc4=[NH+][C@H]32)c(=O)n1CCc1ccc(F)cc1,<s>O=c1[nH]c<mask>O<mask>c([C@@H<mask>2[NH2+]CCC3=c4ccccc4=[<mask>+][C<mask>H<mask>32)<mask>(=O)<mask>1CCc1ccc(F<mask><mask>1</s>
C[C@H](C(=O)N(C)C1CCCCC1)N1CCN(S(=O)(=O)c2cccc(Br)c2)CC1,<s>C[C@H](C(=O)N(<mask><mask>C1CCCCC1)<mask>1CCN(<mask>(=<mask>)(=<mask><mask>c2cccc(Br<mask>c2)CC1</s>
CCCn1c2c(c(=O)n(C)c1=O)[C@H](c1ccc(CC)cc1)C1=C(COC1=O)N2,<s>CCCn<mask>c2<mask>(c<mask>O)n(C)<mask><mask>=O)[C@<mask>](c1ccc(CC<mask>cc1)C<mask>=C(COC1=O)N2</s>
C[C@H](NCc1cccc(N(C)C)c1)c1nc2c(s1)CCCC2,<s><mask>[C@H](NCc<mask>cccc(N(C)C)c<mask><mask>c1nc2c(s1<mask>CCCC<mask></s>
C[C@@H](NC(=O)CCS(=O)(=O)c1ccc(Cl)cc1)C1CCCCC1,<s>C<mask><mask>@@H](NC<mask>O)CCS(=O)(=O)c1ccc(<mask>)<mask>1)C1CCCCC1</s>
CCc1cc(C(F)(F)F)n2nc([C@H]3CCCCN3C(=O)Cn3nc(C)c(C)c3C)cc2n1,<s>CCc1<mask>(<mask>(F)(F)F)n<mask>nc<mask>C<mask>H]3<mask>3C(=O)Cn3nc(<mask><mask>c(C)c3C)cc2n<mask></s>
C#Cc1cccc(NC(=O)CNC(=O)NC[C@@H]2CC[NH+](C3CC3)C2)c1,<s>C#Cc1cccc(NC(=<mask>)CNC(=O)NC<mask>C@@H]2CC[NH+](<mask>3CC3)<mask><mask><mask>c<mask></s>
Cc1ccc(C)n1NC[C@H](O)COCCCC(C)C,<s>Cc1ccc<mask>C)<mask>1NC[C@H<mask>O)COCCCC(<mask>)C</s>
Cc1cccc(C(NC(=O)N(C)[C@@H](C)c2ccncc2)c2cccc(C)c2)c1,<s>Cc1cccc(C(NC(=O)N(C)[C@@H](C)c2<mask><mask>)c<mask><mask>(<mask>)c2<mask>c<mask></s>
CCc1cc([O-])nc(-c2ccc(N[C@@H](COC)c3ccccc3)nc2)n1,<s>CCc<mask>cc<mask>O-])nc(-c2ccc(N[C@@H](COC)<mask><mask>ccccc3)nc2<mask>n<mask></s>
O=C(NC[C@]1(CCO)CCOC1)c1ccc(-n2ccnn2)cc1,<s>O=C<mask>NC[C@]1(<mask>)<mask>1)c1ccc(-n2ccnn2<mask>cc<mask></s>
CC1CCN(Cc2nnc(-c3cn(CC(=O)NC4CC4)c4ccccc34)o2)CC1,<s>CC1CCN(<mask>2<mask><mask>c3cn(CC(=<mask>)NC<mask>CC4)c4ccccc34)o2)<mask>1</s>
COc1cccc(-c2nnc(SCC(=O)Nc3c(C)cc(C)cc3C)n2Cc2ccco2)c1,<s>COc1<mask>(-c2nnc<mask>SCC(=O<mask>Nc3c(C<mask>cc(C)cc3C)n<mask>Cc<mask>ccco2)c<mask></s>
O=C([O-])[C@@]1([NH2+]C2CC2)CC[C@@H]([NH+]2CCO[C@@H]3CCC[C@H]32)C1,<s><mask>=C<mask>O<mask><mask>@@]1([NH2+]C2<mask>2)CC[C@@H]([NH+]2CCO<mask>C@@H]3<mask><mask>C@H]32)C1</s>
COc1ccc(-c2cc(=O)oc3c(C)c4c(cc23)C[NH+](Cc2cccnc2)CO4)cc1,<s>COc1ccc(-c2cc(=O)<mask>3c<mask>C)c4c(cc23)C[<mask><mask>Cc<mask>cccnc<mask><mask>CO4)cc1</s>
COc1ccccc1NC(=O)[C@@H]1[C@H](C)Nc2ncnn2[C@@H]1c1ccc(OCC(N)=O)c(OC)c1,<s><mask>1ccccc<mask>NC(=O)[C@@<mask>]1[C@<mask>](<mask>)Nc2ncnn2<mask>C@@<mask>]<mask>c1ccc(OCC(N)=O)c(OC<mask>c1</s>
CCC[C@@H](COC)n1c(N)[nH+]c2cc(Cl)c(Cl)cc21,<s>CCC[C@@H](COC)n1c(N)[nH+]c<mask>cc(Cl<mask><mask><mask>Cl<mask>cc21</s>
C[C@@H](C(=O)Nc1ccc(OCc2ccccc2)cc1)[NH+]1CCCC1,<s>C[C@@<mask>](<mask>(=O<mask>Nc1ccc(OCc<mask>ccccc2)cc1)[<mask>+]1CCCC1</s>
CN(C)C(=O)[C@@H]1CN(Cc2csc(-c3ccccc3)n2)CC[NH2+]1,<s>CN<mask>C<mask>C(=O)[C@@H]1<mask>(Cc2<mask><mask>c3ccccc3<mask>n2)CC[NH2+]1</s>
Cc1cc(S(=O)(=O)N2CCN(C(=O)CC3CCCC3)CC2)c(C)s1,<s>Cc<mask>cc(S(=O)(=O)N2CCN(C<mask><mask>)<mask>3<mask>3)CC2)c(C)<mask>1</s>
Cc1cc(C)n2c(SCc3cc(Cl)c4c(c3)OCCO4)nnc2n1,<s>Cc<mask>cc(C<mask>n2c(SCc3cc(Cl)<mask>4c(c3)OCCO4)nnc<mask><mask><mask></s>
CCN[C@@H](Cc1ccc(Cl)cc1Cl)c1ncc(Cl)cc1Cl,<s>CCN[<mask>@@H<mask>Cc<mask>ccc(Cl)cc1Cl)c1ncc<mask>Cl<mask>cc1Cl</s>
CCc1cccc(C)c1NC(=O)c1nn(-c2ccc(C)cc2)c2c1CCC2,<s>CCc1cccc<mask>C)c<mask>NC(=O)<mask>1nn(-c2<mask>(C)cc2)c2<mask><mask>CCC2</s>
CCC(=O)N1CCC[C@@H]1[C@@H]1CCC[NH+]1CCOc1ccccc1F,<s>CCC<mask><mask>)N1CCC[C@@H]1<mask>C@@H]1<mask>[<mask>+]1CCOc1ccccc1F</s>
O=C1O[C@H](Cc2ccccn2)C(=O)C1=C1NCCCN1,<s>O=C1O[<mask>@<mask>](<mask>2ccccn2)C<mask>O<mask>C1=C1NCCCN1</s>
COC(=O)C(C)(C)[C@@H]1CCCN(CC(=O)Nc2cccc(Cl)c2C)C1,<s>COC(=O)<mask>(C)(<mask>)[C@@<mask>]1<mask>(CC(=O<mask><mask>2cccc(Cl)c2C)C1</s>
O[C@@H]1C[NH+](Cc2ccccc2)CC[C@@H]1C[NH2+]C1CC1,<s><mask>[<mask>@@H]1C[NH<mask>Cc2ccccc<mask>)CC[C<mask>H]1C<mask>NH2+]C1CC1</s>
CCCCCn1ccc2cc3ccn(CC[NH+]4CCOCC4)c(=O)c3cc2c1=O,<s>CCCCCn1<mask><mask>cc3ccn(CC[NH+]4CCOCC<mask>)c(=<mask><mask>c3cc2c1=O</s>
O=C(c1ccc(Cn2c(=O)c([O-])nc3cccnc32)cc1)N1CCN(C(=O)c2ccco2)CC1,<s>O=C(<mask>1ccc(<mask>2c(=O<mask>c<mask><mask>-])nc3cccnc32<mask>cc1)N1CCN(C(=<mask>)<mask>2ccco2)CC1</s>
COc1ccc([C@@H]2[C@H](C(=O)N3CCC[C@@H](C)C3)CCC(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,<s><mask>1ccc([C@@H]2[<mask>@H](C(=O)<mask><mask>CCC[C<mask>H](C)<mask>3)CCC(=<mask><mask>N2c2<mask>(<mask>)c(<mask>)c(OC)c2)cc1</s>
CC(C)Oc1ccc(CCNC(=O)N[C@H](C)c2ccncc2)cc1,<s>CC(C<mask>Oc1ccc(CCNC<mask>O)N[C@H<mask>C)c<mask>ccncc2)cc<mask></s>
COc1c(C)cnc(C[NH+]2CCC[C@@H]2c2c(C)n[nH]c2C)c1C,<s>COc1c(C)<mask><mask><mask><mask>NH+]2CCC[C<mask><mask>]2c2c(C)n[nH]c2<mask>)c1C</s>
CCCc1nnc(Cl)n1CC1C(C)(C)C1(C)C,<s>CCCc1nnc(Cl)<mask>1CC1<mask>(C)(C)C1(<mask>)<mask></s>
C[C@@H]1CCCC[C@H]1Nc1ccc(S(N)(=O)=O)c(N)c1,<s>C<mask>C@@H]1CCCC<mask>C@H]1Nc<mask><mask>(S(N)(=O)=O)c<mask>N)c<mask></s>
C[C@@H](CNC(=O)N1CCC(c2nc3ccccc3[nH]2)CC1)c1ccsc1,<s>C<mask>C@@H<mask>CNC(=<mask>)N1CCC<mask>c2nc3ccccc3<mask>nH]2)CC<mask>)c1ccsc1</s>
CCOC(=O)c1c(NC(=O)c2c(F)cccc2Cl)sc(C)c1CC,<s><mask>(=O)<mask>1c(NC(=<mask>)c2c(F)cccc2<mask>)sc(<mask>)c1CC</s>
C[C@H]1CCN(C(=O)Nc2ccc(F)cc2C#N)[C@@H](C)C1,<s>C[C@H]1CCN(C<mask>O)Nc<mask>ccc<mask><mask>)cc2C<mask><mask>)[C@@H](C)C1</s>
Cc1coc(C)c1C(=O)C[C@]1(O)C(=O)N(Cc2cccs2)c2ccccc21,<s><mask>1coc(<mask>)c<mask>C(=O)C[C@]1(O)C(=<mask>)N(Cc<mask><mask>2<mask>c2ccccc21</s>
O=C(Nc1cc(-c2ccco2)ccc1F)c1sccc1C1CC1,<s>O<mask>C(<mask>1cc(-c2ccco<mask>)ccc1F)<mask><mask>sccc1C1CC1</s>
CN(CCOCC1CC1)C(=O)Nc1ccn(CC[NH+](C)C)n1,<s>CN<mask>CCOCC1<mask>1)C(=<mask>)Nc1<mask>(CC[<mask>+](C)C)n1</s>
CC[C@H](C)C[NH2+]C[C@@H]1C[C@H](C)[NH+](Cc2ccccc2)C1,<s>CC[<mask>@H](<mask>)C[NH<mask>+]<mask>[<mask>@@H]1C[<mask><mask>H](C)[NH+](Cc2ccccc2)C1</s>
CCCCOc1cccc(CNC(=O)c2cnc([C@H]3CCCO3)s2)c1,<s>CCCCOc1cccc(CNC(=O)c2cnc([C<mask>H]3<mask>3<mask>s2)<mask><mask></s>
O=C1CCc2cc(S(=O)(=O)Nc3cc(-c4nnc5n4CCCCC5)c(F)cc3F)ccc2N1,<s>O<mask>C1CCc2cc(S<mask><mask><mask>O)Nc<mask>cc(-c4nnc5n4CCCCC5<mask>c(F)cc3F)<mask>2N1</s>
CCCN(Cc1cc[nH+]cc1)C(=O)c1c[nH]c(=O)cn1,<s>CCCN(Cc1cc[nH+]cc1<mask>C(=<mask>)c1c[nH]<mask>(=<mask>)<mask>1</s>
C[C@@H]1CN(C[C@@H]2Cc3ccccc3S2)CCCO1,<s>C[C@@H<mask>1<mask><mask>C[C@@H]2Cc3ccccc3S2<mask><mask>1</s>
Cc1cc(CN(C)Cc2ccc([S@@](C)=O)cc2)c(C)o1,<s>Cc<mask>cc<mask>CN(C<mask>Cc2ccc([<mask>@@](C<mask>O)cc2)c(C)o1</s>
C[C@@H](NCCc1nc(-c2ccccn2)cs1)c1cnc2ccsc2c1,<s>C[C@@H](<mask>1nc<mask>c<mask>ccccn2<mask>cs1)c1cnc2ccsc2c<mask></s>
CC[C@H](CO)N1CC[NH+](CCOCCOC)CC1,<s><mask>[C@H](CO<mask>N1CC[NH+](CCOCCOC)CC<mask></s>
COc1ccccc1NC(=O)CNC(=O)CC12CC3CC(CC(C3)C1)C2,<s>COc1ccccc1NC(=<mask>)<mask>(=<mask>)<mask>12CC3CC(CC(C<mask>)C1)C2</s>
CC(C)C(=O)Nc1ccc(OC2CCCC2)cc1,<s>CC(<mask>)C(=O)<mask>1ccc<mask>OC2CCCC2)cc1</s>
COc1ccccc1OCc1nc(-c2ccc(-n3cccc3)cc2)no1,<s>COc1ccccc1OCc1nc(-c2ccc(-<mask>3cccc3<mask>cc2)<mask><mask></s>
O=C(NCC(C1CC1)C1CC1)C1(c2ccc(F)cc2)CC1,<s><mask>=C<mask>NCC(C1<mask>1<mask>C1CC1)C<mask>(c2ccc(F)cc<mask>)CC1</s>
C[C@H](Oc1ccccc1F)C(=O)N(Cc1ccco1)Cc1ccc(N2CCCCC2)o1,<s>C[<mask><mask>H](Oc1ccccc1F<mask>C<mask>O)<mask>(Cc<mask>ccco1)Cc1ccc(N2CCCCC2)o1</s>
COCc1nnc(SCC(=O)Nc2ccc(C)cc2Br)n1-c1ccccc1,<s>COCc1nnc(SCC(=O)Nc2<mask><mask>C<mask>cc2Br)n<mask>-c1<mask>1</s>
CC[C@H](NC(=O)c1ccn(-c2cccc(Cl)c2)n1)C(=O)OC,<s>CC[C<mask>H](<mask>(=<mask>)c1<mask>(-c2<mask>(<mask>)c2)n1)C(=O)OC</s>
COc1ccc(C)cc1N(CC(=O)N(C)c1ccccc1)S(=O)(=O)c1ccccc1,<s><mask>1<mask>(C)cc1N(CC(=O)N(<mask><mask>c1ccccc1)S(=<mask>)(=<mask>)c1ccccc1</s>
CCCCC(=O)N[C@@H](C)c1cc2ccccc2o1,<s>CCCCC(=<mask>)N[<mask>@@H](C<mask>c<mask>cc2ccccc2o1</s>
CC(C)(Oc1ccc(Cl)cc1)C(=O)N(Cc1cccnc1)c1nc2ccc(Cl)cc2s1,<s>CC(C)(Oc1ccc<mask>Cl)cc1)<mask>(=O)N(<mask><mask><mask>1)c1nc2ccc(Cl)<mask>2s<mask></s>
Cc1ccc(NC(=O)NC[C@@H](c2ccc(N(C)C)cc2)N2CCN(c3ccccc3)CC2)cc1C,<s>Cc1ccc(NC(=O)<mask>[C@@<mask>](c2ccc(<mask>(<mask>)C)<mask><mask><mask>N2CCN(c3ccccc3<mask>CC2)cc1C</s>
COc1ccccc1Cn1c([C@H]2CC(=O)N(c3ccc(Cl)cc3)C2)[nH+]c2ccccc21,<s><mask>1ccccc1Cn1<mask>([C@H<mask>2CC(=O)N<mask><mask>3ccc(Cl)<mask>3)C2)[nH+]c2<mask>21</s>
CC(C)OC(=O)[C@@H]1CC=CC[C@@H]1C(=O)Nc1sc2c(c1C#N)CCCC2,<s>CC(C)OC(=O)[C@@H]1<mask>=CC[C@@H<mask>1C(=O)Nc<mask><mask><mask>c(<mask>1C<mask>N<mask>CCCC2</s>
CCOC(=O)CCN(Cc1ccc[nH+]c1)C(=O)c1ccccc1OC,<s>CCOC(=O)CCN<mask>Cc1ccc[nH+]c1)<mask>(=O)c1<mask>1<mask></s>
Cc1ccc([C@@H](C(=O)[O-])[NH+](C)Cc2ccccn2)c(-n2cccn2)c1,<s>Cc1ccc([C<mask>H](C<mask>O)[O-])[NH+](<mask>)Cc<mask><mask><mask>)c(-n2cccn2)c1</s>
CC[NH+](CC)CCC[C@H](C)NC(=O)c1ccccc1OC(F)F,<s>CC[<mask>+](CC)CCC<mask>C@<mask>](C)NC(=O)c1ccccc1OC(<mask>)<mask></s>
CCCc1ccc(C[NH+]2CCN3C(=O)CN(C)C(=O)[C@H]3C2)o1,<s><mask>1ccc(<mask>[<mask>+]2CCN3C(=O<mask>CN(C)<mask>(=O)[C@<mask>]3C2)o1</s>
CC(C)(C(=O)N[C@H]1[C@H]2CCO[C@@H]2C1(C)C)c1cccc(F)c1,<s>CC(<mask>)(<mask>(=O)N[C@<mask>]1<mask>C@H]2CCO[C@@H<mask>2C<mask><mask>C)C)c1cccc(<mask>)c1</s>
COc1ccc(CN(C)C(=O)C[NH+]2CCN(C(=O)c3cccs3)CC2)cc1,<s>COc1ccc(<mask>(C<mask>C(=O)<mask>[NH+]2CCN(C<mask>O)c<mask>cccs3)CC2)<mask>1</s>
C[C@H]([NH2+]C[C@@H]1C[NH+]2CCCC[C@@H]2CO1)c1cccc(C(F)(F)F)c1,<s><mask>[C<mask>H]([<mask>2+]C[<mask>@@H<mask>1C[NH+]2CCCC[C@@H]<mask>CO<mask>)c1<mask>(C(F)(F)F)c<mask></s>
CN(C)c1nc(N2CCN(C)[C@@]3(CCNC(=O)CC3)C2)c2c([nH+]1)CCCC2,<s>CN(C)c1nc<mask><mask>2CCN(C)[C<mask>3(CCNC(=<mask>)CC3)C2)c<mask>c([nH+]<mask><mask>CCCC2</s>
CC(C)(C)c1ccc(OCCNC(=O)c2ccccc2NS(C)(=O)=O)cc1,<s>CC(C)(C)c1ccc(OCCNC(=O)<mask>2ccccc2NS<mask>C)(=O<mask><mask>)<mask>1</s>
CCC[NH+]1CCC([C@H](C)[NH2+]CCc2ccc(F)cc2)CC1,<s>CCC[NH+]1CCC([C@H](C)[<mask><mask>+]<mask><mask>ccc(F)cc2)CC<mask></s>
C[C@@H]1CCCN(C(=O)C2CCN(Cc3cnn(-c4ccc(F)cc4)c3)CC2)C1,<s>C[C@@H]1CCCN(C<mask>O)C2<mask><mask><mask>3cnn(-c4ccc(F)cc<mask>)<mask><mask>)CC2)C1</s>
NC(=[NH2+])C[C@H](c1ccccc1)N1CC[NH+]2CCCC[C@@H]2C1,<s>NC(=[<mask>2+])C[C<mask><mask>](c1ccccc<mask><mask>N1CC[NH+]<mask>CCCC[C@@H]2C1</s>
C[NH+](C)[C@H]1CCN(c2nncc(-c3ccc(C4CCCCC4)cc3)n2)C1,<s>C[NH+](C)[C@H]<mask>CCN(c2<mask>(-<mask>3ccc(<mask>4CCCCC4)cc3<mask>n2)<mask>1</s>
O=C(CC(F)(F)F)Nc1cccc[nH+]1,<s>O=<mask>(<mask>(F)(F)F)Nc1cccc[nH<mask>1</s>
CCOc1ccc(O[C@@H](C)C(=O)N2CCC[C@H]([C@@H]3C[C@H](C(F)F)n4ncnc4N3)C2)cc1,<s>CCOc1ccc(<mask>[C@@H<mask>C)C<mask><mask>)N2CCC[C<mask>H]([<mask>@@<mask>]3C[C@H](C(F)F)n4ncnc<mask><mask>3)<mask>2)cc1</s>
CC1(C)CC[C@@H]([NH+]2CCO[C@H]3CCCC[C@@H]32)[C@@H]1O,<s>CC1(<mask>)CC<mask>C@@H]([NH+]<mask>CCO[C@H]3CCCC[C@@H<mask>32)[<mask>@@H<mask>1<mask></s>
CC(C)NC(=O)[C@H]1CCC[C@@H](Nc2cc(-n3cccn3)nc(N)n2)C1,<s><mask><mask>C)NC(=O)[C<mask>H]1CCC[C@@H](Nc2cc<mask>n<mask>cccn3)nc(<mask>)n2)C<mask></s>
CCN(CC)C(=O)[C@H]([NH2+]C1CCCC1)c1ccccc1,<s>CCN(CC)C(=O)[C@H]([<mask><mask>+]C1<mask>1)c1ccccc<mask></s>
CC(C)(C)c1nnc(N2CCC(CN3CCCC3=O)CC2)o1,<s>CC(C)(C)c<mask>nnc(N2CCC(CN3CCCC<mask>=<mask>)CC2<mask>o<mask></s>
COc1cccc(C(=O)NCCNC(=O)c2ccccc2Cl)c1O,<s>COc1cccc(C(=O<mask><mask>(=O)c<mask>ccccc<mask>Cl)c1O</s>
Cc1c(C(=O)N2CCC[C@@H]2C[NH+]2CCCCC2)cnn1-c1ccncc1,<s><mask>1c(C(=O)N2<mask>[<mask>@@H]2C[NH+]<mask>CCCCC2)cnn1<mask>c1ccncc<mask></s>
O=C(N[C@@H]1CCC[C@H]1c1ccccc1C(F)(F)F)[C@@H]1CCOC1,<s>O<mask>C(N[C@@<mask>]<mask>CCC[C@H]1<mask>1ccccc1C(F<mask>F)F<mask>C@@H]1CCOC<mask></s>
CC(C)CCNC(=O)[C@@]1(C)CN(S(=O)(=O)c2ccccc2)CC(=O)N1CCc1cccs1,<s>CC<mask>C)CCNC<mask>O)[<mask>@@]1(C)CN(S(=O)(=O)c2ccccc2)<mask>(=<mask>)N1CCc<mask>cccs<mask></s>
COc1ccc(CCN2C(=O)c3oc4cc(C)c(C)cc4c(=O)c3[C@@H]2c2ccc(OCC(N)=O)cc2)cc1,<s>COc1ccc<mask>CCN2C(=O)c3oc<mask>cc(<mask><mask>c(<mask><mask>cc4<mask>(=O)c<mask>[C@@H]2c2ccc(OCC(N)=O)cc<mask><mask>cc1</s>
Cc1cc(-c2ccc(N)nc2)cc([C@@H]2CCCN(C(=O)C3CCCCC3)C2)[nH+]1,<s>Cc<mask>cc<mask>c<mask>ccc(N)nc2)cc([C<mask>H]2CCCN(C(=O)<mask>3CCCCC3<mask>C2<mask>nH+]1</s>
CC(C)c1nn2c3c(nnc2c1-c1cccc(Cl)c1)C(=O)CCC3,<s>CC(<mask>)c1nn<mask>c3c(nnc2c1-c1cccc<mask>Cl<mask>c<mask>)C(=O<mask>CCC3</s>
O=C(C1CC1)N1CCC(c2nc(NC3CC3)ncc2-c2ccncc2)CC1,<s><mask>=<mask>(C1<mask><mask>)N1CCC(c2nc(NC3CC3)ncc2<mask>c<mask>ccncc2)CC1</s>
C[C@H](NCCCN1CCCN(C)CC1)c1cccnc1,<s><mask>[C@<mask>](NCCCN<mask>CCCN(C)CC1)c1cccnc1</s>
